“甘普基本变形法则”五大例外中的第一项是什么？,不可能凭空变出美味佳肴
《初级变形指南》的作者是？,埃默里克·斯威奇
《阿不思·邓布利多的生平与谎言》是谁的代表作？,丽塔?斯基特
《哈利·波特与密室》中没被蛇怪石化的是？,哭泣的桃金娘
《黑魔法：自卫指南》的作者是谁？,昆丁·特林布
《霍格沃茨，一段校史》的作者是谁？,巴希达·巴沙特
《魔法史》的作者是谁？,巴希达·巴沙特
《千种神奇药草及蕈类》的作者是谁？,菲利达·斯波尔
《神奇动物在哪里》的作者是谁？,纽特·斯卡曼德
《神奇动物在哪里》中，纽特·斯卡曼德为了让纽约的市民失忆，使用了哪种动物的经稀释的毒液？,蜷翼魔
《为消遣和盈利而饲养火龙》中建议用什么喂养新出生的龙？,白兰地混鸡血
《预言家日报》的记者丽塔·斯基特能变成什么？,甲虫
《预言家日报》上邓布利多的讣告是谁写的？,埃菲亚斯·多吉
1加隆等于多少纳特？,493
1加隆等于多少西可？,17
1西可等于多少纳特？,29
1792年三强争霸赛中，什么生物横冲直撞导致三名裁判受伤？,鸡蛇
1979年谁向阿不思做了一个具有打败伏地魔能力的孩子会出生的预言？,西比尔·特里劳尼
1985-1986学年，谁带领格兰芬多魁地奇球队赢得了魁地奇学院杯？,查理·韦斯莱
1994年的魁地奇世界杯得主是谁？,爱尔兰队
1994年魁地奇世界杯决赛时，谁召唤出了黑魔标记？,小巴蒂·克劳奇
1997年伏地魔控制下的魔法部内，大厅雕像上写着什么？,魔法即强权|魔法就是力量
1997年霍格沃茨的黑魔法防御术教授由谁担当？,阿米库斯·卡罗
1997年英国魔法部倒台前的部长是？,鲁弗斯·斯克林杰
爱阅读的同学们？《会魔法的我》是谁的自传？,吉德罗·洛哈特
奥利凡德不曾使用下列哪种杖芯？,媚娃的头发
奥利凡德魔杖商店创始于哪一年？,公元前382年
巴克比克是什么生物？,鹰头马身有翼兽
保护神奇生物课上海格所使用的教科书是什么？,妖怪们的妖怪书
贝拉特里克斯·莱斯特兰奇是被谁杀死的？,莫丽·韦斯莱
贝拉特里克斯·莱斯特兰奇折磨疯了谁的父母？,纳威·隆巴顿
被食死徒抓捕后，是谁给哈利·波特施了蜇人咒？,赫敏·格兰杰
比比多味豆总共有多少种口味？,20
比尔·韦斯莱在古灵阁的职位是什么？,解咒员
宾斯教授在霍格沃茨教哪一门课程？,魔法史
博格特在面对卢平教授时变成了什么？,满月
布巴吉教授在霍格沃茨教哪一门课程？,麻瓜研究
布斯巴顿的校长马克西姆夫人说她的马只喝什么？,纯麦威士忌
布斯巴顿魔法学校参加三强争霸赛时乘坐哪种交通工具？,飞马马车
布斯巴顿魔法学校位于哪个国家？,法国
布斯巴顿魔法学院的马车由什么生物牵引？,飞马
布斯巴顿魔法学院坐落在哪里？,法国南部比利牛斯山
猜猜看，哈利·波特的挚友罗恩·韦斯莱最擅长哪一种游戏？,巫师棋
猜猜看，哈利第一次去卢平教授办公室时，在角落里看到了什么生物？,格林迪洛
猜猜看，海格的摩托车原来属于谁？,小天狼星·布莱克
猜猜看，金妮·韦斯莱的侏儒蒲叫什么名字？,阿因
