什么是表情包？,表达想法或情绪的图标
什么是防晒霜？,保护皮肤不受紫外线伤害的乳液
下列哪项不是麻瓜口香糖的特点？,永久保持味道
麻瓜地理学家发现，以下哪个湖泊不是淡水湖？,艾尔湖
猎巫行动背后最主要的诱因是？,对于魔法和未知的恐惧
下列哪项不是麻瓜的时髦？,侏儒蒲
一名麻瓜从冰冷的室外走进温暖的室内，眼镜会起雾，这是因为？,凝结
苏打水指的是？,注入二氧化碳的水
部分巫师与麻瓜需要佩戴近视眼镜以矫正视力。那么近视眼镜的原理是？,凹透镜
奥运会是麻瓜世界的体育盛事。以下哪种运动入选了2020奥运会？,手球
巫师们普遍反感麻瓜技术，但哪项是例外？,汽车
第一部有声动画片是什么时候问世的？,1927年
存储在低温环境下的蜂蜜会结晶，结晶部分的主要含量是?,葡萄糖
电是现代麻瓜生活中不可缺少的部分。你知道哪种电路中，通过各电器的电流相等吗？,串联电路
下列哪项麻瓜发明的效果不能被魔法复制？,电视
麻瓜佩戴防护镜的原因是,防止异物或碎片进入眼睛
下列哪项不是麻瓜的饮料？,峡谷水
网络巨魔指的是？,在网上发布煽动性言论的人
下列哪项不是常见的麻瓜业余/休闲活动？,收集插头|挖水沟
麻瓜用什么东西在水下呼吸？,呼吸管
下列麻瓜发明中，哪一项无法完全被魔法复制？,计算机
第一项麻瓜电子游戏是什么时候发明的？,1958
来自伦敦的麻瓜管他们的快速运输系统叫什么,伦敦地铁
第一部手机何时问世的？,1973年
发胶是用来干什么的？,给头发造型
麻瓜用冰箱做什么？,储藏易腐烂的食物
超市是什么？,卖食物的商店
牛仔可能会搭乘什么交通工具？,马匹
什么是按摩浴缸？,一种喷水式浴缸
在大批麻瓜面前最好不要穿什么？,翠绿色斗篷
为什么印刷术被视为麻瓜最伟大的发明之一？,他提升了识字率，加快了信息的传播
麻瓜的占卜方式很原始，下列哪项尤其受欢迎？,占星术
下列哪个不是麻瓜计算机常配备的输入设备？,显示器
下列哪项不是麻瓜小孩玩的游戏？,高布石游戏
下列哪项衣物违背了魔法部“关于麻瓜要穿符合时代新潮衣物”的规定？,宽松低腰连衣裙
棒球运动员用什么接什么？,用手套接球
面有顽固性粉刺的麻瓜通常用什么治愈自己？,护肤用品
在英国最受欢迎的麻瓜运动是？,英式足球
高达828米的哈利法塔位于哪个城市？,迪拜
麻瓜电池里储存着什么？,化学能源
什么是快餐车？,一种流动餐馆
印刷机是什么时候发明的？,1439
麻瓜花园里没有什么植物？,曼德拉草（注意麻瓜花园里有乌头）
麻瓜在乘坐火车跨国旅行时偶尔会看见更换车轮的情况，这主要是因为？,轨距不统一
麦克风是什么东西？,一种能放大，传播，记录声音的设备
麻瓜什么时候开始使用蒸汽引擎？,17世纪
巫师们常常觉得麻瓜运动无趣甚至还很愚蠢。但哪项除外？,橄榄球
下列的魔法发明中，哪一项在麻瓜技术中没有类似的存在？,时间转换器
麻瓜可以用什么重温过去发生的事件？,家庭录像
以下哪项不是一种麻瓜音乐类型？,白噪音
什么运动要用到球拍，门柱，还有球？,板球
麻瓜是哪一年登上月球的？,1969
麻瓜心理学家艾宾浩斯发现遗忘是有规律的。如果学习后不进行复习，1天后大约只能记住多少信息？,0.33
麻瓜可以某种程度地复制哪项物品的功能？,变色墨水
留声机是麻瓜发明的一种放音设备。你知道它诞生于哪一年吗？,1877
麻瓜对铅笔进行了分类，请问2B铅笔比4B铅笔更？,更硬
麻瓜科学家们发现，冰为什么会漂浮在水上？,冰的密度更小
X光是什么？,电磁波
麻瓜经常使用什么电磁波消毒杀菌？,紫外线
世界首部商用载人电梯是什么时候安装的？,1857年
戈德里克山谷位于英格兰，有谁知道它具体在英格兰的哪个方向？,西南部
下列哪项是麻瓜音乐家贝多芬创作的作品？,月光奏鸣曲
以下哪项不是麻瓜文学家莎士比亚所写的作品？,俄狄浦斯王
以下那个选项是著名的麻瓜作家亚历山大·小仲马的作品,茶花女
一本由麻瓜科学家爱因斯坦撰写的书本，提到不利用时间转换器就穿越时空的假想。这本书是？,狭义与广义相对论浅说
常常出现在麻瓜婚礼上的音乐——《仲夏夜之梦序曲》是哪位音乐家的作品？,门德尔松
哪位麻瓜发明家创造了带有高速汽油引擎的四轮汽车？,戈特利布戴姆勒
你还记得麻瓜艺术家罗丹的作品《思想者》是什么姿态吗？,右手托着下巴
下列哪位不是文艺复兴时期的著名麻瓜艺术家?,尼古拉弗拉梅尔|尼可勒梅
披头士是什么？,一个英国摇滚乐队
以下哪个不属于麻瓜作家威廉·莎士比亚创作的四大悲剧之一？,威尼斯商人
哪位麻瓜作家被人称为“历史之父”？,希罗多德
哪位麻瓜发明家发明了电话？,亚历山大·格拉汉姆·贝尔
以下哪一项不是著名麻瓜作家维克多·雨果的作品？,基督山伯爵
下列哪项不是著名麻瓜艺术家达·芬奇的作品,星空
哪位麻瓜被叫做“现代医学之父”？,希波克拉底
以下哪部作品不是由女性麻瓜作家完成的？,红与黑
第二次麻瓜工业革命期间，麻瓜科学家莱特兄弟发明了？,飞机
下列哪道选项不在禁止滥用麻瓜物品办公室的监管范围之内？,跳绳
魔法部哪个部门负责处理巫师和麻瓜之间的关系？,麻瓜联络办公室
《对未成年人加以合理约束法》的第几段中规定，明知故犯地当着麻瓜的面使用魔法属于犯罪行为？,第三段
《国际巫师联合会保密法》的第73条要求巫师管理机构担当隐藏和控制什么的责任？,神奇动物、人类和幽灵
《国际巫师联合会保密法》是什么时候颁布的？,1692
哪部已经废止的美国法律禁止巫师和麻瓜通婚或交友？,拉帕波特法
《对未成年人加以合理约束法》哪一条规定了在一些特殊情况下也可以在麻瓜面前使用魔法？,第七条
《国际巫师联合会保密法》严禁巫师参加哪种麻瓜活动？,运动
在《国际巫师联合会保密法》签署后，下列哪项没有发生？,麻瓜的猎巫行动加剧了
麻瓜保护法是用来保护麻瓜不受什么伤害的？,有害的魔法制品
《国际巫师联合会保密法》第七十三条要求巫师管理机构担负隐藏和控制什么的责任？（不包括什么）,神奇动物、人类、幽灵（不包括哑炮）
哪位女巫应主张废除《国际巫师联合会保密法》而出名？,卡洛塔·平克斯通
《国际巫师联合会保密法》第73条是何时加上的？,1750
因为麻瓜经常目击何种生物，所以西藏设立了一支国际别动队并令其永久驻扎？,雪人
下列哪项不是常见的麻瓜运动员吉祥物？,霍克拉普
麻瓜总认定麦田怪圈是外星人造成的。实际上，这与那种神奇生物有关？,月痴兽
新买的麻瓜电器出故障，是哪种神奇生物捣乱导致的？,毛螃蟹
麻瓜不能看见下列哪种东西？,幽灵
著名麻瓜科学家诺贝尔与以下哪种神奇生物来自同一个故乡,瑞典短鼻龙
麻瓜在他们的花园摆放哪种神奇生物的雕像？,地精
麻瓜称为“尼斯湖水怪”的生物其实是哪种魔法生物？,马形水怪
哪种神奇生物导致了1932年的伊尔福勒科姆事件，从而使巫师们施下了20世纪最大范围的遗忘咒？,普通威尔士绿龙
“渡渡鸟”是麻瓜对哪种神奇生物的称呼？,球遁鸟
以下哪项不常见于麻瓜小说？,弗洛伯毛虫
麻瓜儿童文学中，经常会出现以下哪种神奇生物？,小矮妖
哪种神奇生物经常出现在麻瓜水手的航行故事中？,海蛇
为了避免让麻瓜看见，巫师必须每天对鹰头马身有翼兽施加什么魔咒？,幻身咒
在麻瓜动物园不能找到什么？,犀角兽
卓尔岛是为了保护麻瓜不受何种生物的伤害才变得不可标绘的？,五足怪
哪种神奇生物由于经常登上报纸，导致巫师不得不成立一个为麻瓜施加遗忘咒的组织？,鸟形食人怪
在以前，美国巫师驯养哪种神奇生物，用以警告麻瓜的接近？,树猴蛙
下列哪种神奇生物麻瓜不认为是虚拟的？,球遁鸟或一角鲸
黑湖中栖息着尼斯湖水怪（这里指的应该是马型水怪），以下地点居住的麻瓜中，不可能目睹尼斯湖水怪的是？,以色列
下列哪样物品具有磁性？,游走球
麻瓜认为光学中的三原色是什么？,红、绿、蓝
即使不使用扩音咒，麻瓜也能是物体发出声音。这是因为？,物体振动
悄声咒和扩音咒能改变声音的大小。请问麻瓜一般用什么单位形容声音强度？,分贝
麻瓜科学家发现，铜为什么会变为绿色？,铜氧化为二阶
加隆用黄金制成。在麻瓜化学中，金的元素符号是？,Au
麻瓜化学中描述了多种物质，谁知道空气属于麻瓜分类中的什么物质？,混合物
水仙不仅是魔药材料，也是一种观赏花卉。请问麻瓜生物学家把它划分为哪个科？,石蒜科
按照麻瓜生物学的分类，以下哪种动物不属于犬科？,鬣狗
猫作为一种很受欢迎宠物。你知道猫腹部柔软的“小肚子”是什么吗？,原始袋
猫头鹰的脑袋可以转多少度？,270度
玫瑰不仅是魔药材料，也是一种观赏花卉。请问麻瓜生物学家把它划分为哪个科？,蔷薇科
按照麻瓜生物学的分类，以下哪种动物不属于猫科？,猫头鹰
火星有几颗卫星?,2
研究发现，太阳系中拥有最多卫星的行星是？,土星
麻瓜天文学认为，以下行星中公转周期时间最长的是？,海王星
以下哪个不是在麻瓜世界中常见的视频文件格式？,png
美国魔法国会的首个总部修建在阿帕拉契亚山脉，它位于北美洲的哪里？,东部
下列哪项不是代指不懂魔法的父母所生的不懂魔法的孩子？,哑炮
什么巫师组织为了获取黄金，将无辜的麻瓜交给了猎巫的清教徒？,肃清者
英国的麻瓜平均每天用于通勤的时间大概有多久？,559
阿尔奇·埃姆斯洛领导的哪个边缘团体声称麻瓜裤子“从源头堵住了魔法流”，并坚持在公共场合穿长袍？,新鲜空气清新一切（F.A.R.T.）
麻瓜科学家把三角形中，任意一锐角∠A的对边与斜边之比叫做？,sinA
麻瓜在看向霍格沃茨时，会看见什么？,一片标着施工危险的废墟
哪位身为麻瓜的英国政府官员被告知了魔法的存在?,首相
下列哪项巫师和麻瓜之间的互动是不合适的？（另一种写法：巫师不应与麻瓜进行何种交往行为？）,巫师卖给麻瓜缩身钥匙
以下哪一年是哈利波特在学校度过的闰年？,1992年
魔法部哪个部门和麻瓜首相合作，掩盖最为极端的违反《保密法》的事件？,错误信息办公室
尽管麻瓜在提高保护环境的意识，仍有部分动物已经灭绝，比如？,爪哇虎
下列哪项对于麻瓜出生巫师的观点是正确的？,他们通常族谱里有位会魔法的祖先
伊法摩尼（在原题中亦称伊尔弗莫尼）被施了魔法，好不让麻瓜看到/什么东西才能让它现形？,云雾环绕
麻瓜出生的男巫女巫们如何得知他们被霍格沃茨录取了？,学校会派出专门的信使当面告知他们
下列哪项不是一种麻瓜的休闲活动,挖水沟
麻瓜会用什么东西来改变指甲的颜色,指甲油
麻瓜买汽车的主要原因是,为了出行
如果麻瓜想让携带的饮料保冷可能会使用什么,杯套
麻瓜棋和巫师棋的不同之处是,麻瓜棋的棋子不会动
洗涤液是什么,用于清洗的一种物质
麻瓜拍照摆姿势时通常会说什么,茄子
有记载的最古老的麻瓜史诗是,吉尔伽美什史诗
什么物质不能导电,橡胶
下列哪个物品一般不会出现在麻瓜的家里,一对自编织缝衣针
部分麻瓜会使用高压锅煮饭高压锅的原理是,压强升高沸点升高
麻瓜为什么要戴牙套,为了矫正牙齿
麻瓜使用乐谱记录音乐请问简谱中的高音应该如何表示,数字上方标点
第一个彩色电视节目是何时播出的,1951
八种主要血型中哪个是最稀有的,阴性血
下列哪项麻瓜物品不能在霍格沃茨正常运作,手机
什么是电池,电源
在猎巫行动的高峰期和麻瓜交好的巫师被视为什么,叛徒
为了保证邮件的正常投递麻瓜在邮寄前要做什么事,贴上邮票
什么是电影,讲故事的动态影像的录像
躺椅是一种什么家具,椅子
什么是伐木工,砍伐并加工树木的麻瓜
洗衣机是什么东西,一种疏通管道的工具
烤面包机里不该放进什么,面包
打火机是什么,一种可携带的生火器
内燃机给哪种麻瓜发明提供动力,汽车
扫描是做什么用的,诊断内部损伤
什么让气球能飘在空中,氦气
什么是麻瓜,不懂魔法的人
配镜师是什么,提供眼睛和视力护理的麻瓜
下列哪项不是麻瓜的卡牌游戏,啪爆炸牌
